date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:11:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Oct%202024%2002:11:18%20GMT	https://www.utelvt.edu.ec/robots.txt		(from )
21:11:20	140522/140522	---MC-	200	added ('OK')	text/html	date:Tue,%2008%20Oct%202024%2002:11:19%20GMT	https://www.utelvt.edu.ec/site/	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/index.html	(from )
21:11:21	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2008%20Oct%202024%2002:11:21%20GMT	https://www.utelvt.edu.ec/site/xmlrpc.php	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/xmlrpc.0.delayed	(from https://www.utelvt.edu.ec/site/)
21:11:22	59016/59016	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Mar%202021%2007:46:22%20GMT	https://www.utelvt.edu.ec/site/wp-includes/css/dashicons.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-includes/css/dashicons.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:23	13324/13324	---MC-	200	added ('OK')	application/rss+xml	etag:%22a05d90282a0c120ef2c69435b988fa4a%22	https://www.utelvt.edu.ec/site/comments/feed/	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/comments/feed/index.html	(from https://www.utelvt.edu.ec/site/)
21:11:23	69801/69801	---MC-	200	added ('OK')	application/rss+xml	etag:%22a05d90282a0c120ef2c69435b988fa4a%22	https://www.utelvt.edu.ec/site/feed/	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/feed/index.html	(from https://www.utelvt.edu.ec/site/)
21:11:23	398/398	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Mar%202020%2011:11:50%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/page-views-count/assets/css/style.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/page-views-count/assets/css/style.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:24	54671/54671	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Dec%202021%2019:18:06%20GMT	https://www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/animate.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/animate.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:24	3356/3356	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Dec%202021%2019:18:06%20GMT	https://www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/owl.carousel.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/owl.carousel.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:24	1018/1018	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Dec%202021%2019:18:06%20GMT	https://www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/owl.theme.default.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/owl.theme.default.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:25	43251/43251	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Dec%202021%2019:18:06%20GMT	https://www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/jquery.mCustomScrollbar.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:25	3251/3251	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Dec%202021%2019:18:06%20GMT	https://www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/odometer.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/odometer.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:26	12795/12795	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Dec%202021%2019:18:06%20GMT	https://www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/css/jquery.fancybox.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:27	254339/254339	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Dec%202021%2019:18:07%20GMT	https://www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/style.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/themes/education-zone-pro/style.css	(from https://www.utelvt.edu.ec/site/)
21:11:27	274/274	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Oct%202024%2002:11:27%20GMT	http://www.utelvt.edu.ec/site/wp-content/uploads/sass/pvc.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/uploads/sass/pvc.min.a.delayed	(from https://www.utelvt.edu.ec/site/)
21:11:28	374/374	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2015:28:55%20GMT	https://www.utelvt.edu.ec/site/wp-content/uploads/sass/pvc.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/uploads/sass/pvc.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:29	317/317	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Oct%202024%2002:11:29%20GMT	http://www.utelvt.edu.ec/site/wp-content/uploads/pum/pum-site-styles.css?generated=1727145689&ver=1.20.2	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/uploads/pum/pum-site-styles.c73ed.delayed	(from https://www.utelvt.edu.ec/site/)
21:11:30	17702/17702	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Sep%202024%2002:41:29%20GMT	https://www.utelvt.edu.ec/site/wp-content/uploads/pum/pum-site-styles.css?generated=1727145689&ver=1.20.2	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/uploads/pum/pum-site-styles73ed.css	(from https://www.utelvt.edu.ec/site/)
21:11:31	60705/60705	---M--	200	added ('OK')	text/css	date:Tue,%2001%20Oct%202024%2013:53:36%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/css/frontend.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/css/frontend.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:31	16471/16471	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2016:22:46%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:32	10260/10260	---M--	200	added ('OK')	text/css	date:Sun,%2025%20Aug%202024%2018:59:38%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:32	1109/1109	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Oct%202024%2019:05:22%20GMT	https://www.utelvt.edu.ec/site/wp-content/uploads/elementor/css/post-853.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/uploads/elementor/css/post-853.css	(from https://www.utelvt.edu.ec/site/)
21:11:33	59344/59344	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2016:22:46%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:34	26702/26702	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2016:22:46%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:35	24323/24323	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Oct%202024%2019:05:23%20GMT	https://www.utelvt.edu.ec/site/wp-content/uploads/elementor/css/global.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/uploads/elementor/css/global.css	(from https://www.utelvt.edu.ec/site/)
21:11:35	3829/3829	---M--	200	added ('OK')	text/css	date:Sun,%2005%20May%202024%2014:31:44%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css	(from https://www.utelvt.edu.ec/site/)
21:11:36	87553/87553	---M--	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202023%2003:44:24%20GMT	https://www.utelvt.edu.ec/site/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-includes/js/jquery/jquery.min.js	(from https://www.utelvt.edu.ec/site/)
21:11:36	13577/13577	---M--	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2016:19:24%20GMT	https://www.utelvt.edu.ec/site/wp-includes/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-includes/js/jquery/jquery-migrate.min.js	(from https://www.utelvt.edu.ec/site/)
21:11:38	18833/18833	---M--	200	added ('OK')	text/javascript	date:Fri,%2028%20Jun%202024%2000:21:44%20GMT	https://www.utelvt.edu.ec/site/wp-includes/js/underscore.min.js	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-includes/js/underscore.min.js	(from https://www.utelvt.edu.ec/site/)
21:11:39	24140/24140	---M--	200	added ('OK')	text/javascript	date:Fri,%2028%20Jun%202024%2000:21:44%20GMT	https://www.utelvt.edu.ec/site/wp-includes/js/backbone.min.js	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-includes/js/backbone.min.js	(from https://www.utelvt.edu.ec/site/)
21:11:39	2187/2187	---M--	200	added ('OK')	text/javascript	date:Wed,%2024%20May%202023%2013:01:28%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/page-views-count/assets/js/pvc.backbone.min.js	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/page-views-count/assets/js/pvc.backbone.min.js	(from https://www.utelvt.edu.ec/site/)
21:11:40	15073/15073	---M--	200	added ('OK')	text/javascript	date:Thu,%2029%20Feb%202024%2016:51:58%20GMT	https://www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js	(from https://www.utelvt.edu.ec/site/)
21:11:41	5686/5686	---MC-	200	added ('OK')	application/json	date:Tue,%2008%20Oct%202024%2002:11:41%20GMT	https://www.utelvt.edu.ec/site/wp-json/wp/v2/pages/110	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-json/wp/v2/pages/110.json	(from https://www.utelvt.edu.ec/site/)
21:11:42	330834/330834	---MC-	200	added ('OK')	application/json	date:Tue,%2008%20Oct%202024%2002:11:41%20GMT	https://www.utelvt.edu.ec/site/wp-json/	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-json/index.html	(from https://www.utelvt.edu.ec/site/)
21:11:42	846/846	---MC-	200	added ('OK')	text/xml	date:Tue,%2008%20Oct%202024%2002:11:42%20GMT	https://www.utelvt.edu.ec/site/xmlrpc.php?rsd	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/xmlrpc0db0.php	(from https://www.utelvt.edu.ec/site/)
21:11:44	2202/2202	---MC-	200	added ('OK')	application/json	date:Tue,%2008%20Oct%202024%2002:11:43%20GMT	https://www.utelvt.edu.ec/site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.utelvt.edu.ec%2Fsite%2F	C:/My%20Web%20Sites/UTELVT/www.utelvt.edu.ec/site/wp-json/oembed/1.0/embed407b.json	(from https://www.utelvt.edu.ec/site/)
